city,city-href,name,store-href,number,address
Acworth,https://www.grubhub.com/food/the_ice_cream_shop/ga-acworth,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-1027-merchants-dr-dallas/1492901,(404) 512-9183,"1027 Merchants Dr, Dallas, GA, 30132"
Acworth,https://www.grubhub.com/food/the_ice_cream_shop/ga-acworth,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-1390-richard-d-sailors-pkwy-powder-springs/2523717,(470) 441-2975,"1390 Richard D Sailors Pkwy, Powder Springs, GA, 30127"
Acworth,https://www.grubhub.com/food/the_ice_cream_shop/ga-acworth,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-3780-sixes-rd-canton/1686465,(770) 720-0685,"3780 Sixes Rd, Canton, GA, 30114"
Acworth,https://www.grubhub.com/food/the_ice_cream_shop/ga-acworth,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-3009-canton-rd-marietta/1411335,(770) 423-7303,"3009 Canton Rd, Marietta, GA, 30066"
Agoura Hills,https://www.grubhub.com/food/the_ice_cream_shop/ca-agoura_hills,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-21315-saticoy-st-los-angeles/2599778,(818) 912-6476,"21315 Saticoy St, Los Angeles, CA, 91304"
Agoura Hills,https://www.grubhub.com/food/the_ice_cream_shop/ca-agoura_hills,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-21400-nordhoff-st-los-angeles/2191712,(818) 341-8944,"21400 Nordhoff St, Los Angeles, CA, 91311"
Agoura Hills,https://www.grubhub.com/food/the_ice_cream_shop/ca-agoura_hills,Ice Cream Shop,https://www.grubhub.com/restaurant/ice-cream-shop-21900-ventura-blvd-woodland-hills/2258466,(818) 923-3246,"21900 Ventura Blvd, Woodland Hills, CA, 91364"
Albany,https://www.grubhub.com/food/the_ice_cream_shop/ca-albany,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-10560-san-pablo-ave-el-cerrito/1408432,(510) 524-6126,"10560 San Pablo Ave, El Cerrito, CA, 94530"
Albany,https://www.grubhub.com/food/the_ice_cream_shop/ca-albany,Ice Cream Shop,https://www.grubhub.com/restaurant/ice-cream-shop-3242-adeline-st-berkeley/2539692,(510) 350-7064,"3242 Adeline St, Berkeley, CA, 94703"
Albany,https://www.grubhub.com/food/the_ice_cream_shop/ca-albany,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-759-san-pablo-ave-albany/1406914,(510) 525-2051,"759 San Pablo Ave, Albany, CA, 94706"
