city,city-href,name,store-href,number,address
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,Ice Cream Shop,https://www.grubhub.com/restaurant/ice-cream-shop-13424-ne-175th-st-woodinville/2262510,(425) 483-6700,"13424 NE 175th St, Woodinville, WA, 98072"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-11454-16th-ave-sw-seattle/2657240,(206) 242-2806,"11454 16th Ave SW, Seattle, WA, 98146"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-7219-rainier-ave-s-seattle/1403551,(206) 723-0532,"7219 Rainier Ave S, Seattle, WA, 98118"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-7132-delridge-way-sw-seattle/2499602,(206) 763-5929,"7132 Delridge Way SW, Seattle, WA, 98106"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-7200-e-marginal-way-s-seattle/2498051,(206) 763-4431,"7200 E Marginal Way S, Seattle, WA, 98108"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,Ice Cream Shop,https://www.grubhub.com/restaurant/ice-cream-shop-6200-corson-ave-s-seattle/1749829,(206) 767-6200,"6200 Corson Ave S, Seattle, WA, 98108"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-1431-market-st-kirkland/2723848,(425) 889-5977,"1431 Market St, Kirkland, WA, 98033"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-16928-juanita-dr-ne-kenmore/2698674,(425) 487-1211,"16928 Juanita Dr NE, Kenmore, WA, 98028"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-21919-66th-ave-w-ste-j-mountlake-terrace/1429542,(206) 953-3553,"21919 66th Ave W Ste J, Mountlake Terrace, WA, 98043"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,Ice Cream Shop,https://www.grubhub.com/restaurant/ice-cream-shop-20010-ballinger-way-ne-shoreline/2262335,(206) 361-1530,"20010 Ballinger Way NE, Shoreline, WA, 98155"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-176-lake-st-s-kirkland/2403129,(425) 576-1609,"176 Lake St S, Kirkland, WA, 98033"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-2120-w-emerson-pl-seattle/2055419,(206) 226-9676,"2120 W Emerson Pl, Seattle, WA, 98199"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-12206-juanita-dr-ne-kirkland/2523216,(206) 724-9700,"12206 Juanita Dr NE, Kirkland, WA, 98034"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-14005-hwy-99-lynnwood/2332479,(425) 787-2100,"14005 Hwy 99, Lynnwood, WA, 98087"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-2401-nw-80th-st-seattle/1404032,(206) 789-5022,"2401 NW 80th St, Seattle, WA, 98117"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,Ice Cream Shop,https://www.grubhub.com/restaurant/ice-cream-shop-23329-hwy-99-edmonds/2258753,(206) 354-1176,"23329 Hwy 99, Edmonds, WA, 98026"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-7500-25th-ave-ne-seattle/2302589,(206) 525-2225,"7500 25th Ave NE, Seattle, WA, 98115"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-2522-5th-ave-seattle/2234948,(206) 200-6111,"2522 5th Ave, Seattle, WA, 98121"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-2244-eastlake-ave-e-seattle/2451292,(206) 325-2117,"2244 Eastlake Ave E, Seattle, WA, 98102"
Seattle,https://www.grubhub.com/food/the_ice_cream_shop/wa-seattle,The Ice Cream Shop,https://www.grubhub.com/restaurant/the-ice-cream-shop-11852-98th-ave-ne-kirkland/2191645,(206) 227-9811,"11852 98th Ave NE, Kirkland, WA, 98034"
